PARKING LOTS,A,C,DISABLED,METER,TIMEZONE,CARPOOL,ELECTRIC,RESTRICTED,MOTORCYCLE,OTHER
QUAD PS,309,413,13,65,0,7,6,7,8,7
GATEWAY PS,182,467,22,28,0,1,7,3,4,0
PAVILION PS,296,1099,23,19,14,27,5,36,79,0
LOT 1,0,270,14,0,3,4,17,12,0,5
LOT 2,0,0,0,0,0,0,0,0,0,513
LOT 3,40,0,11,0,0,20,0,0,14,38
LOT 4,0,0,0,0,20,0,0,0,3,6
LOT 5A,136,0,4,0,0,0,0,0,4,0
LOT 5,0,260,9,7,0,13,0,0,0,0
LOT 6,34,0,6,0,2,8,0,1,7,13
LOT 10,161,0,7,0,14,7,0,0,0,3
LOT 14,165,0,7,0,0,2,0,0,47,13
LOT 15,0,164,2,0,0,4,0,5,0,1
LOT 16,0,33,3,0,0,0,0,0,0,2
LOT 20,26,0,1,0,0,4,0,0,2,3
LOT 21,14,0,0,0,0,1,0,0,0,3
LOT 22,0,147,7,0,0,0,0,0,3,4
LOT 25,0,501,14,14,0,10,0,26,22,16
LOT 26,32,0,1,0,0,4,0,0,6,7
LOT 27,77,0,2,0,0,7,1,2,1,15
LOT 30,0,0,4,12,6,1,0,2,16,259
LOT 31,0,328,5,2,0,5,1,0,8,9
LOT 35,0,150,10,4,0,6,3,21,0,4
LOT 40,0,83,0,0,0,16,0,0,0,0
LOT 41,175,0,3,20,2,20,0,5,4,10
LOT 42,0,0,1,0,0,0,0,18,3,1
LOT 43,0,0,2,0,0,0,0,67,0,25
LOT 43B,0,0,0,0,0,0,0,3,0,14
LOT 44,112,0,5,0,0,15,4,8,4,0
LOT 46,131,0,3,0,0,7,0,1,3,9
LOT 47,0,464,4,0,0,6,0,1,4,1
LOT 48,0,49,1,0,0,0,0,3,0,1
LOT 49,0,35,1,0,2,0,4,4,0,1
LOT 50,0,125,5,0,0,12,0,34,3,2
LOT 51,0,104,2,0,0,0,0,38,1,6
LOT 52,11,0,1,0,0,0,0,0,0,4
LOT 53,0,375,5,0,0,12,0,0,1,14
LOT 54,0,23,1,0,0,0,0,0,0,1
LOT 55,0,131,7,0,2,4,2,23,0,2
LOT 56,73,292,11,16,0,0,2,0,8,4
LOT 57,0,260,6,0,0,0,1,0,4,1
LOT 80,0,153,4,0,2,5,3,1,2,12
LOT 81,0,70,0,0,0,1,0,0,2,1
LOT 82,0,52,2,0,0,0,0,0,2,1
LOT 83,0,132,5,0,2,0,0,0,10,3
