message_id,sent_time,messages_sent_in_day
1970268.0,2017-04-05,6
2298946.0,2017-05-29,6.2
2575515.0,2017-07-13,5.1
2610242.0,2017-07-17,5.3
2926234.0,2017-08-20,6
3110458.0,2017-09-06,5.8
3130002.0,2017-09-08,5
3255637.0,2017-09-18,5.2
3387239.0,2017-09-29,6.3
3447200.0,2017-10-03,6
3861761.0,2017-11-05,5.9
3949012.0,2017-11-12,6
4082149.0,2017-11-21,5.3
4155079.0,2017-11-27,5.1
4214299.0,2017-12-03,5.6
4348242.0,2017-12-12,6
4374202.0,2017-12-15,5.5
4384330.0,2017-12-16,5.5
4495880.0,2017-12-26,1.1
4569256.0,2017-01-01,5.9
4583204.0,2017-01-02,5.7
4621515.0,2017-01-04,6.2
4678673.0,2017-01-07,5.1
4743194.0,2017-01-10,5.7
4761212.0,2017-01-11,6.3
4831117.0,2017-01-14,4.7
4882719.0,2017-01-17,6
4993390.0,2017-01-23,5.1
5025999.0,2017-01-24,5.2
5116854.0,2017-01-29,5.6
5245310.0,2017-02-05,5.1
5322663.0,2017-02-09,6
5359655.0,2017-02-11,6.2
5796069.0,2017-03-01,5.1
5851670.0,2017-03-04,5
5851896.0,2017-03-05,4.2
5853612.0,2017-03-06,3.1
5948879.0,2017-03-07,4.9
6023444.0,2017-03-11,6
6090357.0,2017-03-14,6
6144796.0,2017-03-16,6
6174973.0,2017-03-18,6
6323260.0,2017-03-25,6
6366507.0,2017-03-27,.5
6534141.0,2017-04-02,6
6616172.0,2017-04-06,6
6688595.0,2017-04-08,6
6922048.0,2017-04-18,6
7041460.0,2017-04-23,6
7067217.0,2017-04-24,6
7096079.0,2017-04-25,6
7300262.0,2017-05-03,6
7336120.0,2017-05-05,6
7398366.0,2017-05-07,6
7599527.0,2017-05-11,6
7604054.0,2017-05-15,5.2
7625589.0,2017-05-16,6
7648767.0,2017-05-17,6	
7655490.0,2017-05-18,5.2
7656367.0,2017-05-19,3
7741827.0,2017-05-21,6
7759564.0,2017-05-24,5.2
7796184.0,2017-05-25,6
7796654.0,2017-05-26,5.2
7824266.0,2017-05-27,6
7832111.0,2017-05-28,6
7835265.0,2017-05-29,5.2
8042720.0,2017-06-02,6
8153484.0,2017-06-06,6
8155267.0,2017-06-06,5.2
8168868.0,2017-06-07,6
8294471.0,2017-06-12,6
8339875.0,2017-06-14,6
8394042.0,2017-06-16,6
8471153.0,2017-06-19,6
8590893.0,2017-06-24,6
8623911.0,2017-06-25,6
8693067.0,2017-06-27,6
8694404.0,2017-06-28,5.2
8723754.0,2017-06-29,6
8746370.0,2017-06-30,6
8837073.0,2017-07-03,6
8865344.0,2017-07-04,6
8941709.0,2017-07-08,6
8994291.0,2017-07-09,6
9128987.0,2017-07-14,6
9159831.0,2017-07-15,6
9204944.0,2017-07-16,6
9210923.0,2017-07-17,6
9266018.0,2017-07-18,6
9266231.0,2017-07-19,5.2
9324786.0,2017-07-21,6
9341950.0,2017-07-23,5.2
9486548.0,2017-07-25,6
9588570.0,2017-07-26,6
9592865.0,2017-07-27,5.2
9593086.0,2017-07-28,3
9623321.0,2017-07-30,6
9688607.0,2017-08-01,6
9707213.0,2017-08-02,5.2
9788944.0,2017-08-04,6
9936524.0,2017-08-09,6
10008718.0,2017-08-11,6
10010036.0,2017-08-12,6
10013367.0,2017-08-13,5.2
10092951.0,2017-08-14,6
10180489.0,2017-08-17,6
10263094.0,2017-08-19,6
10286186.0,2017-08-20,6
10323615.0,2017-08-21,6
10324019.0,2017-08-22,5.2
10337486.0,2017-08-23,3
10538427.0,2017-08-28,6
10544930.0,2017-08-29,5.2
10636490.0,2017-09-01,6
10662893.0,2017-09-02,6
10689638.0,2017-09-03,5.2
10720808.0,2017-09-04,6
10727816.0,2017-09-05,5.2
10827838.0,2017-09-06,6
10868207.0,2017-09-08,6
10901991.0,2017-09-09,6
10902800.0,2017-09-10,5.2
11042358.0,2017-09-13,6
11067087.0,2017-09-14,6
11092456.0,2017-09-15,6
11095545.0,2017-09-16,5.2
11112536.0,2017-09-17,3
11155241.0,2017-09-18,6
11200021.0,2017-09-18,6
11330013.0,2017-09-22,6
11396324.0,2017-09-24,6
11438062.0,2017-09-25,6
11497501.0,2017-09-27,6
11523569.0,2017-09-28,6
11577380.0,2017-09-30,6
11643442.0,2017-10-02,6
11675126.0,2017-10-02,5.2
11686638.0,2017-10-03,6
11761527.0,2017-10-06,6
11797089.0,2017-10-07,6
11806540.0,2017-10-07,5.2
11890577.0,2017-10-10,6
11913225.0,2017-10-10,5.2
11925201.0,2017-10-11,6
12054268.0,2017-10-15,6
12109954.0,2017-10-17,6
12287440.0,2017-10-23,6
12299908.0,2017-10-23,5.2
12338351.0,2017-10-24,6
12479671.0,2017-10-29,6
12493743.0,2017-10-29,5.2
12599551.0,2017-11-02,6
12640897.0,2017-11-03,6
12652971.0,2017-11-04,6
12721270.0,2017-11-06,6
12772615.0,2017-11-07,6
12824087.0,2017-11-09,6
12883125.0,2017-11-11,6
12929179.0,2017-11-12,6
12950733.0,2017-11-12,5.2
12981403.0,2017-11-13,6
12985451.0,2017-11-13,5.2
13013572.0,2017-11-14,6
13049151.0,2017-11-15,6
13158802.0,2017-11-19,6
13164116.0,2017-11-19,5.2
13305423.0,2017-11-24,1.1
13379133.0,2017-11-26,6
13396485.0,2017-11-27,6
13417044.0,2017-11-29,6
13458111.0,2017-12-01,6
13471784.0,2017-12-01,5.2
13550106.0,2017-12-03,6
13603989.0,2017-12-04,6
13616791.0,2017-12-05,6
13641139.0,2017-12-06,6
13764774.0,2017-12-10,6
13770570.0,2017-12-10,5.2
13817837.0,2017-12-11,6
13827630.0,2017-12-12,6
13844164.0,2017-12-12,5.2
13844618.0,2017-12-12,3
13900230.0,2017-12-15,6
13955071.0,2017-12-16,6
14004909.0,2017-12-18,6
14010194.0,2017-12-18,5.2
14078099.0,2017-12-21,6
14218315.0,2017-12-28,.9
